name,summary,causes,symptoms,home_care,alternative_names
A1C test,A1C is a lab test that shows the average level of blood sugar (glucose) over the previous 3 months. It shows how well you are controlling your blood sugar to help prevent complications from diabetes.,,,,HbA1C test; Glycated hemoglobin test; Glycohemoglobin test; Hemoglobin A1C; Diabetes - A1C; Diabetic - A1C
Aarskog syndrome,"Aarskog syndrome is a very rare disease that affects a person's height, muscles, skeleton, genitals, and appearance. It can be passed down through families (inherited).","Aarskog syndrome is a genetic disorder that is linked to the X chromosome. It affects mainly males, but females may have a milder form. The condition is caused by changes (mutations) in a gene called ""faciogenital dysplasia"" ( FGD1 ).","Symptoms of this condition include: Belly button that sticks out Bulge in the groin or scrotum Delayed sexual maturity Delayed teeth Downward palpebral slant to eyes (palpebral slant is the direction of the slant from the inner to outer corner of the eye) Hairline with a ""widow's peak"" Mildly sunken chest (pectus excavatum) Mild to moderate cognitive problems Mild to moderate short height , which may not be obvious until the child is 1 to 3 years old Poorly developed middle section of the face Rounded face Scrotum surrounds the penis (shawl scrotum) Short fingers and toes with mild webbing Single crease in the palm of the hand Small, broad hands and feet with short fingers and curved-in fifth finger Small nose with nostrils tipped forward Testicles that have not come down ( undescended ) Top portion of the ear folded over slightly Wide groove above the upper lip, crease below the lower lip Wide-set eyes with droopy eyelids",,Aarskog disease; Aarskog-Scott syndrome; AAS; Faciodigitogenital syndrome; Gaciogenital dysplasia
Aase syndrome,Aase syndrome is a rare disorder that involves anemia and certain joint and skeletal deformities.,"Many cases of Aase syndrome occur without a known reason and are not passed down through families (inherited). However, some cases (45%) have been shown to be inherited. These are due to a change in 1 of 20 genes important for making protein correctly (the genes make ribosomal proteins). This condition is similar to Diamond-Blackfan anemia, and the two conditions should considered the same. A missing piece on chromosome 19 is found in some people with Diamond-Blackfan anemia. The anemia in Aase syndrome is caused by poor development of the bone marrow, which is where blood cells are formed.",Symptoms may include: Absent or small knuckles Cleft palate Deformed ears Droopy eyelids Inability to fully extend the joints from birth Narrow shoulders Pale skin Triple-jointed thumbs,,"Aase-Smith syndrome; Hypoplastic anemia - triphalangeal thumbs, Aase-Smith type; Diamond-Blackfan with AS-II; Aase-Smith I syndrome; Hydrocephalus-cleft palate-joint contractures syndrome"
Abdomen - swollen,A swollen abdomen is when your belly area is bigger than usual.,"Abdominal swelling, or distention, is more often caused by overeating than by a serious illness. This problem also can be caused by: Air swallowing (a nervous habit) Buildup of fluid in the abdomen (this can be a sign of a serious medical problem) Gas in the intestines from eating foods that are high in fiber (such as fruits and vegetables) Irritable bowel syndrome Lactose intolerance Ovarian cyst or cancer Partial bowel blockage Pregnancy Premenstrual syndrome (PMS) Uterine fibroids Weight gain",,"A swollen abdomen that is caused by eating a heavy meal will go away when you digest the food. Eating smaller amounts will help prevent swelling. For a swollen abdomen caused by swallowing air: Avoid carbonated beverages. Avoid chewing gum or sucking on candies. Avoid drinking through a straw or sipping the surface of a hot beverage. Eat slowly. For a swollen abdomen caused by malabsorption , try changing your diet and limiting milk. Talk to your health care provider. For irritable bowel syndrome: Decrease emotional stress . Increase dietary fiber . Talk to your provider. For a swollen abdomen due to other causes, follow the treatment prescribed by your provider.",Swollen belly; Swelling in the abdomen; Abdominal distention; Distended abdomen
Abdominal aortic aneurysm,"The aorta is the main blood vessel that supplies blood to the abdomen, pelvis, and legs. An abdominal aortic aneurysm (AAA) occurs when an area of the aorta in the abdomen becomes very large or balloons out.","The exact cause of an aneurysm is unknown. It occurs due to weakness in the wall of the artery. Factors that can increase your risk of having this problem include: Smoking High blood pressure Male sex Genetic factors An abdominal aortic aneurysm is most often seen in males over age 60 who have one or more risk factors. The larger the aneurysm, the more likely it is to break open or tear . This can be life threatening.","Aneurysms can develop slowly over many years, often with no symptoms. Symptoms may come on quickly if the aneurysm expands rapidly, tears open or leaks blood within the wall of the vessel (aortic dissection). Symptoms of rupture include: Pain in the abdomen or back. The pain may be severe, sudden, persistent, or constant. It may spread to the groin, buttocks, or legs. Passing out. Clammy skin . Dizziness. Nausea and vomiting. Rapid heart rate . Shock .",,Aneurysm - aortic; AAA
Abdominal aortic aneurysm repair - open,"Open abdominal aortic aneurysm (AAA) repair is surgery to fix a widened part in your aorta. This is called an aneurysm. The aorta is the large artery that carries blood from your heart to your belly (abdomen), pelvis, and legs.",,,,AAA - open; Repair - aortic aneurysm - open
Abdominal bloating,Abdominal bloating is a condition in which the belly (abdomen) feels full and tight. Your belly may look swollen (distended).,"Common causes include: Swallowing air Constipation Gastroesophageal reflux disease (GERD) Irritable bowel syndrome Lactose intolerance and problems digesting other foods Overeating Small bowel bacterial overgrowth Weight gain You may have bloating if you take the oral diabetes medicine acarbose. Some other medicines or foods containing lactulose or sorbitol, may cause bloating. Many foods high in fructose and related compounds cause gas. More serious disorders that may cause bloating are: Ascites and abdominal tumors Celiac disease Dumping syndrome Ovarian cancer Problems with the pancreas not producing enough digestive enzymes (pancreatic insufficiency)",,"You may take the following steps: Avoid chewing gum or carbonated drinks. Stay away from foods with high levels of fructose or sorbitol. Avoid foods that can produce gas, such as Brussels sprouts, turnips, cabbage, onions, garlic, beans, and lentils. Do not eat too quickly. Stop smoking. Get treatment for constipation if you have it. However, insoluble fiber such as bran can cause more bloating and gas. Soluble fiber supplements such as psyllium are usually better tolerated. You may try simethicone and other medicines that you can buy at the drugstore to help with gas. Charcoal caps can also help. Be aware that charcoal will turn your stool black. It is not harmful, but it is good to be aware of this effect. Watch for foods that trigger your bloating so you can start to avoid those foods. These may include: Milk and other dairy products that contain lactose Certain carbohydrates, including fructose (fruit sugar), that are fermentable and thus can produce gas. These carbohydrates are known as FODMAPs.",Bloating; Meteorism; Gas
Abdominal CT scan,An abdominal CT scan is an imaging method. This test uses x-rays to create cross-sectional pictures of the belly area. CT stands for computed tomography.,,,,Computed tomography scan - abdomen; CT scan - abdomen; CT abdomen and pelvis
Abdominal exploration,Abdominal exploration is surgery to look at the organs and structures in your belly area (abdomen). This includes your:,,,,Exploratory surgery; Laparotomy; Exploratory laparotomy
Abdominal girth,Abdominal girth is the measurement of the distance around the abdomen at a specific point. Measurement is most often made at the level of the belly button (navel). Abdominal girth is used to diagnose and monitor the following:,,,,
